birth,deltactcf,sep,face,frip
1.0,900,1000,1.0,0.0023839166666666666
0.0001,1000,1000,1.0,0.0029094166666666665
0.0001,100,1000,1.0,0.00263225
0.0001,1100,1000,1.0,0.0026655
0.0001,1300,1000,1.0,0.0028159166666666667
0.0001,1500,1000,1.0,0.002679916666666667
0.0001,150,1000,1.0,0.002467833333333333
0.0001,200,1000,1.0,0.002340333333333333
0.0001,300,1000,1.0,0.0023295
0.0001,400,1000,1.0,0.0025271666666666667
0.0001,500,1000,1.0,0.002523416666666667
0.0001,600,1000,1.0,0.0025964166666666666
0.0001,700,1000,1.0,0.0028453333333333334
0.0001,800,1000,1.0,0.002653833333333333
0.0001,900,1000,1.0,0.00269025
0.001,1000,1000,1.0,0.0027475
0.001,100,1000,1.0,0.00260025
0.001,1100,1000,1.0,0.002695
0.001,1300,1000,1.0,0.0025850833333333333
0.001,1500,1000,1.0,0.00300525
0.001,150,1000,1.0,0.0023556666666666665
0.001,200,1000,1.0,0.00242375
0.001,300,1000,1.0,0.002789
0.001,400,1000,1.0,0.0025218333333333334
0.001,500,1000,1.0,0.0024565
0.001,600,1000,1.0,0.0023383333333333333
0.001,700,1000,1.0,0.0023409166666666665
0.001,800,1000,1.0,0.002944916666666667
0.001,900,1000,1.0,0.00320475
0.01,1000,1000,1.0,0.0027859166666666666
0.01,100,1000,1.0,0.0029114166666666668
0.01,1100,1000,1.0,0.0026756666666666665
0.01,1300,1000,1.0,0.00281775
0.01,1500,1000,1.0,0.0029516666666666667
0.01,150,1000,1.0,0.003197
0.01,200,1000,1.0,0.0023885833333333333
0.01,300,1000,1.0,0.0027828333333333333
0.01,400,1000,1.0,0.0030223333333333335
0.01,500,1000,1.0,0.0030290833333333333
0.01,600,1000,1.0,0.002546416666666667
0.01,700,1000,1.0,0.003442
0.01,800,1000,1.0,0.00257825
0.01,900,1000,1.0,0.0033825
0.1,1000,1000,1.0,0.004587416666666667
0.1,100,1000,1.0,0.005765083333333333
0.1,1100,1000,1.0,0.004822583333333333
0.1,1300,1000,1.0,0.004573
0.1,1500,1000,1.0,0.004206166666666667
0.1,150,1000,1.0,0.006454833333333333
0.1,200,1000,1.0,0.005536
0.1,300,1000,1.0,0.005715583333333333
0.1,400,1000,1.0,0.005402666666666667
0.1,500,1000,1.0,0.00508025
0.1,600,1000,1.0,0.00505525
0.1,700,1000,1.0,0.005322333333333333
0.1,800,1000,1.0,0.004535
0.1,900,1000,1.0,0.00495675
0.3,1000,1000,1.0,0.008536083333333333
0.3,100,1000,1.0,0.013362583333333334
0.3,1100,1000,1.0,0.008463416666666666
0.3,1300,1000,1.0,0.0089725
0.3,1500,1000,1.0,0.008334583333333333
0.3,150,1000,1.0,0.011280666666666666
0.3,200,1000,1.0,0.012561083333333334
0.3,300,1000,1.0,0.011094583333333333
0.3,400,1000,1.0,0.011182583333333333
0.3,500,1000,1.0,0.0107735
0.3,600,1000,1.0,0.009310916666666667
0.3,700,1000,1.0,0.00935375
0.3,800,1000,1.0,0.00985575
0.3,900,1000,1.0,0.009305833333333333
0.5,1000,1000,1.0,0.013096666666666666
0.5,100,1000,1.0,0.017414083333333333
0.5,1100,1000,1.0,0.012784833333333334
0.5,1300,1000,1.0,0.012121166666666667
0.5,1500,1000,1.0,0.01144225
0.5,150,1000,1.0,0.017448083333333333
0.5,200,1000,1.0,0.017232083333333332
0.5,300,1000,1.0,0.017182083333333334
0.5,400,1000,1.0,0.014985
0.5,500,1000,1.0,0.0145885
0.5,600,1000,1.0,0.014198083333333333
0.5,700,1000,1.0,0.012959666666666666
0.5,800,1000,1.0,0.013654416666666667
0.5,900,1000,1.0,0.012434833333333334
1.0,1000,1000,1.0,0.019023083333333333
1.0,100,1000,1.0,0.029840666666666668
1.0,1100,1000,1.0,0.02005075
1.0,1300,1000,1.0,0.019130416666666667
1.0,1500,1000,1.0,0.018457833333333333
1.0,150,1000,1.0,0.028050333333333333
1.0,200,1000,1.0,0.027457083333333333
1.0,300,1000,1.0,0.0258105
1.0,400,1000,1.0,0.024214166666666665
1.0,500,1000,1.0,0.02247725
1.0,600,1000,1.0,0.021745083333333335
1.0,700,1000,1.0,0.020249666666666666
1.0,800,1000,1.0,0.021038833333333333
1.0,900,1000,1.0,0.020010833333333332
