birth,deltactcf,sep,occupancy,relative
0.3,1500,1000,0.09090909090909091,3.7882775119617227
0.3,150,1000,0.09090909090909091,0.9416331224841863
0.3,200,1000,0.09090909090909091,1.39118389155494
0.3,300,1000,0.09090909090909091,1.8785471875225648
0.3,400,1000,0.09090909090909091,1.37410697645524
0.3,500,1000,0.09090909090909091,2.6211706315249015
0.3,600,1000,0.09090909090909091,1.882168458781362
0.3,700,1000,0.09090909090909091,1.9887640449438202
0.3,800,1000,0.09090909090909091,2.890712332025211
0.3,900,1000,0.09090909090909091,4.2060018346219366
0.5,1000,1000,0.09090909090909091,3.9729421521874353
0.5,100,1000,0.09090909090909091,1.2411160245601756
0.5,1100,1000,0.09090909090909091,3.709188567043929
0.5,1300,1000,0.09090909090909091,5.049774953666931
0.5,1500,1000,0.09090909090909091,6.651167133520075
0.5,150,1000,0.09090909090909091,1.258471782700422
0.5,200,1000,0.09090909090909091,1.2095687331536389
0.5,300,1000,0.09090909090909091,1.4102096940529392
0.5,400,1000,0.09090909090909091,2.005481087534596
0.5,500,1000,0.09090909090909091,2.4484340942984972
0.5,600,1000,0.09090909090909091,2.470656082502205
0.5,700,1000,0.09090909090909091,3.0375706439544694
0.5,800,1000,0.09090909090909091,4.278770065566357
0.5,900,1000,0.09090909090909091,3.7507920702453155
1.0,1000,1000,0.09090909090909091,5.040465485321343
1.0,100,1000,0.09090909090909091,1.2276507065162143
1.0,1100,1000,0.09090909090909091,4.5619293553444615
1.0,1300,1000,0.09090909090909091,5.810556378252591
1.0,1500,1000,0.09090909090909091,11.108891288696904
1.0,150,1000,0.09090909090909091,1.490234516808248
1.0,200,1000,0.09090909090909091,1.462575796595884
1.0,300,1000,0.09090909090909091,1.826703639956652
1.0,400,1000,0.09090909090909091,1.715329915660658
1.0,500,1000,0.09090909090909091,2.675192046995029
1.0,600,1000,0.09090909090909091,2.9340248758664766
1.0,700,1000,0.09090909090909091,3.461893504446696
1.0,800,1000,0.09090909090909091,3.72809364548495
1.0,900,1000,0.09090909090909091,4.769025994362669
0.0001,1000,1000,0.9090909090909091,0.9278959002757458
0.0001,100,1000,0.9090909090909091,1.1179725426736964
0.0001,1100,1000,0.9090909090909091,0.9131021742219696
0.0001,1300,1000,0.9090909090909091,1.097026904003258
0.0001,1500,1000,0.9090909090909091,0.9975482259332933
0.0001,150,1000,0.9090909090909091,1.0560017018560868
0.0001,200,1000,0.9090909090909091,1.1143239405854084
0.0001,300,1000,0.9090909090909091,1.2723057846784194
0.0001,400,1000,0.9090909090909091,1.0651345502446368
0.0001,500,1000,0.9090909090909091,1.1151313443480328
0.0001,600,1000,0.9090909090909091,1.1686718786573662
0.0001,700,1000,0.9090909090909091,1.046179802362015
0.0001,800,1000,0.9090909090909091,0.9879105986619915
0.0001,900,1000,0.9090909090909091,1.0195507945954285
0.001,1000,1000,0.9090909090909091,0.9852035527733176
0.001,100,1000,0.9090909090909091,1.1589292205431792
0.001,1100,1000,0.9090909090909091,1.0115975645114526
0.001,1300,1000,0.9090909090909091,0.9980392156862745
0.001,1500,1000,0.9090909090909091,1.0168613671625444
0.001,150,1000,0.9090909090909091,1.1623138083735909
0.001,200,1000,0.9090909090909091,1.1851557288726975
0.001,300,1000,0.9090909090909091,1.2182296455204822
0.001,400,1000,0.9090909090909091,1.1030882768906374
0.001,500,1000,0.9090909090909091,1.1157207270022778
0.001,600,1000,0.9090909090909091,1.1934441479595583
0.001,700,1000,0.9090909090909091,1.0421560352104184
0.001,800,1000,0.9090909090909091,1.0848580441640379
0.001,900,1000,0.9090909090909091,1.1249338390966832
0.01,1000,1000,0.9090909090909091,1.1160596801891212
0.01,100,1000,0.9090909090909091,1.0888268390997649
0.01,1100,1000,0.9090909090909091,1.320958991732013
0.01,1300,1000,0.9090909090909091,1.3015091342335188
0.01,1500,1000,0.9090909090909091,1.1029786291662054
0.01,150,1000,0.9090909090909091,1.1630451809251012
0.01,200,1000,0.9090909090909091,1.3296658097686376
0.01,300,1000,0.9090909090909091,1.2169314560781035
0.01,400,1000,0.9090909090909091,1.219112121143937
0.01,500,1000,0.9090909090909091,1.064939795175044
0.01,600,1000,0.9090909090909091,1.2876331166367339
0.01,700,1000,0.9090909090909091,1.316382592696701
0.01,800,1000,0.9090909090909091,1.1708797196521292
0.01,900,1000,0.9090909090909091,1.0701346848749356
0.1,1000,1000,0.9090909090909091,2.165371745067118
0.1,100,1000,0.9090909090909091,1.2983562691131498
0.1,1100,1000,0.9090909090909091,2.310588377334192
0.1,1300,1000,0.9090909090909091,2.291944948255628
0.1,1500,1000,0.9090909090909091,2.491212672589104
0.1,150,1000,0.9090909090909091,1.3648486334109573
0.1,200,1000,0.9090909090909091,1.4993570916178283
0.1,300,1000,0.9090909090909091,1.5603403563368239
0.1,400,1000,0.9090909090909091,1.7779079085249336
0.1,500,1000,0.9090909090909091,1.7725458098785642
0.1,600,1000,0.9090909090909091,1.7999404636828464
0.1,700,1000,0.9090909090909091,2.1872353176188573
0.1,800,1000,0.9090909090909091,2.3194282832984254
0.1,900,1000,0.9090909090909091,2.3470853481871417
0.3,1000,1000,0.9090909090909091,3.783151375349565
0.3,100,1000,0.9090909090909091,1.4590470612142439
0.3,1100,1000,0.9090909090909091,4.248426463389048
0.3,1300,1000,0.9090909090909091,4.839805324699428
0.3,1500,1000,0.9090909090909091,5.420118874060782
0.3,150,1000,0.9090909090909091,1.5406148429035753
0.3,200,1000,0.9090909090909091,1.6348103056730539
0.3,300,1000,0.9090909090909091,1.8948918076470733
0.3,400,1000,0.9090909090909091,1.9562496233610827
0.3,500,1000,0.9090909090909091,2.4689408769508896
0.3,600,1000,0.9090909090909091,2.717349960278293
0.3,700,1000,0.9090909090909091,3.1950918102811396
0.3,800,1000,0.9090909090909091,3.556955959865832
0.3,900,1000,0.9090909090909091,3.6970668693009117
0.5,1000,1000,0.9090909090909091,4.649913606319081
0.5,100,1000,0.9090909090909091,1.4459770624902948
0.5,1100,1000,0.9090909090909091,5.446618830180474
0.5,1300,1000,0.9090909090909091,6.350850227635316
0.5,1500,1000,0.9090909090909091,6.794297434247567
0.5,150,1000,0.9090909090909091,1.4955538589856179
0.5,200,1000,0.9090909090909091,1.6026151936276996
0.5,300,1000,0.9090909090909091,2.1277502319183648
0.5,400,1000,0.9090909090909091,2.3512948130260507
0.5,500,1000,0.9090909090909091,2.6475078759215025
0.5,600,1000,0.9090909090909091,3.0202173594847777
0.5,700,1000,0.9090909090909091,3.447267736837728
0.5,800,1000,0.9090909090909091,4.189124954041704
0.5,900,1000,0.9090909090909091,4.532511498051064
1.0,1000,1000,0.9090909090909091,5.992201269453628
1.0,100,1000,0.9090909090909091,1.4824702209785088
1.0,1100,1000,0.9090909090909091,6.7921059637912675
1.0,1300,1000,0.9090909090909091,8.332700323478765
1.0,1500,1000,0.9090909090909091,10.419762596038
1.0,150,1000,0.9090909090909091,1.5491661944344275
1.0,200,1000,0.9090909090909091,1.748936059365771
1.0,300,1000,0.9090909090909091,2.0640935225140153
1.0,400,1000,0.9090909090909091,2.3618272381454557
1.0,500,1000,0.9090909090909091,3.0022417182594405
1.0,600,1000,0.9090909090909091,3.5936119890323797
1.0,700,1000,0.9090909090909091,3.8532817398838413
1.0,800,1000,0.9090909090909091,4.594405533027893
1.0,900,1000,0.9090909090909091,5.551653397676421
