,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest,ctcfread
492,24,70.58599629917259,215.87744871898727,18463,769.0,240.99364075778604
493,25,1112.022768717462,826.8178040074985,19232,769.0,946.6475380475808
494,26,1109.1136077314695,919.8694085275278,20001,769.0,1030.204922322059
495,27,609.8094323160852,880.7539570804383,20770,769.0,931.2588348308864
496,28,516.9145108867605,635.36540629895,21539,769.0,947.0928281832128
497,29,280.4741929607578,451.7215845447683,22308,769.0,454.2221318820464
498,30,118.65412220400572,268.50936645566105,23078,769.0,231.0924836243212
499,31,330.64784422009376,448.3978805782181,23847,769.0,421.7945325930796
500,32,24.559104898323124,121.28415146681452,24616,769.0,158.75903012150874
501,33,467.11588958878633,612.2697655485775,25385,769.0,954.4794057272262
502,34,527.6082223564491,677.5823768171527,26154,769.0,728.2982103635522
503,35,798.2566303295271,853.4467995379795,26923,769.0,987.6535208318112
504,36,388.5739005378664,383.77668505125735,27692,769.0,400.237251321012
505,37,19.372976289776705,106.16437819112936,28461,769.0,111.42730805756447
506,38,261.7494827470494,496.0080144020984,29230,769.0,513.6159779141403
507,0,84.24780203449632,283.09719328929424,5,769.0,354.04401645299794
508,1,119.43632755198897,338.8058578577399,774,769.0,373.150456660762
509,2,113.38227246143374,267.89016043533275,1543,769.0,265.4232052121176
510,3,9.84721527118628,65.41139723015453,2312,769.0,88.60789275527668
511,4,346.79020527128216,476.2632893762012,3081,769.0,406.3251276908757
512,5,1001.785390360591,910.412815502626,3850,769.0,903.208839463176
513,6,30.73102654816349,179.83463022274066,4619,769.0,118.75963815414175
514,7,324.1919713137938,529.5580005974501,5388,769.0,640.1367986309184
515,8,1151.920599035484,882.837537192518,6157,769.0,774.4761304230342
516,9,141.92205252106885,161.7262820405903,6926,769.0,182.5898755216621
517,10,67.42502948198005,250.1160638718433,7696,769.0,261.40555618938964
518,11,28.38441050421377,257.1812680570283,8465,769.0,239.15992397994415
519,12,32.39187351990873,151.44310803800872,9234,769.0,211.191402648092
520,13,750.1670741411875,768.793044202217,10003,769.0,754.8658692767286
521,14,16.46917287466084,94.515359634111,10772,769.0,78.75108823970938
522,15,641.7137668862235,722.0378103701925,11541,769.0,741.9086282162908
523,16,41.09792619437973,163.37655022467754,12310,769.0,126.87244711321944
524,17,1159.0997440101246,929.1586893261064,13079,769.0,1019.2426771549524
525,18,1108.5778506438098,901.0464285118574,13848,769.0,778.0028769928243
526,19,447.69469516112025,502.6875369600437,14617,769.0,751.7525142462545
527,20,585.4860605363324,580.0662219315616,15387,769.0,586.9901488575975
528,21,302.84740894142914,470.4720443635761,16156,769.0,491.8067469300747
529,22,935.0675602343218,764.6172954703833,16925,769.0,685.6227864412887
530,23,29.836312211771705,128.42969456164457,17694,769.0,91.1786713903984
531,24,83.29951198933855,212.93876209908183,18463,769.0,193.62226222715947
532,25,675.2575181446008,815.5625365761176,19232,769.0,641.8420387305972
533,26,1135.794310696925,907.3474524874646,20001,769.0,936.448102921308
534,27,709.4441779081696,868.7644700614852,20770,769.0,1076.755775062299
535,28,436.063408788027,626.7163332747826,21539,769.0,703.5923999159336
536,29,340.136102242548,445.57240970366576,22308,769.0,562.496700153121
537,30,139.1843338031275,264.8542144830728,23078,769.0,305.9743315219023
538,31,134.48574414435146,442.29395050183297,23847,769.0,424.2559857087099
539,32,11.599140947833677,119.6331401396144,24616,769.0,100.6866767946678
540,33,375.587148732994,603.9350878021661,25385,769.0,469.5611147206293
541,34,519.3629207773655,668.3586145554991,26154,769.0,856.0692854955414
542,35,1051.2571998350927,841.8290381391589,26923,769.0,919.7961749782328
543,36,249.42706973087508,378.5524274176596,27692,769.0,282.48852469450867
544,37,39.22813395844719,104.71918861921182,28461,769.0,142.7751028912841
545,38,331.0818074610982,489.2559792824566,29230,769.0,538.9333824121055
546,0,79.30276411539678,344.8722689043347,5,769.0,462.36623081171433
547,1,115.12884056720452,412.737207175614,774,769.0,519.5718553522378
548,2,175.18721009386297,326.34688593351456,1543,769.0,406.8130383418249
549,3,11.508062242931516,79.68491920693018,2312,769.0,96.48629547673998
550,4,342.91668152750213,580.1894370431526,3081,769.0,636.5483085048407
551,5,782.8268262049262,1109.0754015393045,3850,769.0,1145.9852471571894
552,6,54.79723492583964,219.076622526282,4619,769.0,159.07412733304318
553,7,284.1869895782399,645.1136694804953,5388,769.0,698.0345189807213
554,8,1054.6914027669918,1075.482879176296,6157,769.0,911.749066782732
555,9,43.53562094323161,197.01682373023357,6926,769.0,198.05578675171628
556,10,102.1635190458385,304.6942763178786,7696,769.0,269.25200282360856
557,11,149.06369449957336,313.3011896161224,8465,769.0,222.1498200863907
558,12,108.919415921228,184.4897424525877,9234,769.0,148.16807566685807
559,13,738.2946970786475,936.552561299856,10003,769.0,880.0695833714326
560,14,12.161685889876416,115.13970218000632,10772,769.0,115.4499206683028
561,15,685.3083211090977,879.5947957089928,11541,769.0,758.356158283012
562,16,10.420475354982216,199.0271994825823,12310,769.0,122.35866046838252
563,17,1246.8406822561626,1131.9118414311388,13079,769.0,1137.8647238386447
564,18,747.8686762351272,1097.6651607827262,13848,769.0,890.2359749679052
565,19,391.7616552094419,612.3797604880662,14617,769.0,774.9906411273952
566,20,535.757087659754,706.6433677704289,15387,769.0,729.5408904608115
567,21,323.72586264752977,573.1344755153497,16156,769.0,426.9727096035609
568,22,623.3319412086174,931.4656159904048,16925,769.0,898.1204365620737
569,23,33.65090267590915,156.45453649165523,17694,769.0,120.98950246699998
570,24,70.62349929530878,259.40445812808355,18463,769.0,264.71961771558364
571,25,967.5397973173796,993.5276968110325,19232,769.0,1015.7263876463468
572,26,1033.9522459036828,1105.3411409280598,20001,769.0,942.4056160550676
573,27,919.610968255338,1058.338906339509,20770,769.0,1107.286861807768
574,28,337.8055589112281,763.4730719319109,21539,769.0,516.6604274182636
575,29,193.15650281397112,542.801453134315,22308,769.0,652.1755946585519
576,30,61.46741066720358,322.6484615278834,23078,769.0,283.2268569066856
577,31,400.773089423879,538.8075962885109,23847,769.0,654.142775695021
578,32,28.15939252739667,145.7384723483915,24616,769.0,80.59147270206905
579,33,491.1178071159433,735.7206957132629,25385,769.0,832.3221652542528
580,34,629.2199116019981,814.2021797014731,26154,769.0,637.5555051955131
581,35,895.8822868428874,1025.525852232405,26923,769.0,954.7752504123856
582,36,132.2355643761805,461.15693704303766,27692,769.0,523.2229433559246
583,37,9.600767010862793,127.57012444140788,28461,769.0,163.48061285473412
584,38,407.5825620080345,596.0172818729735,29230,769.0,411.4555855878921
585,0,157.255420369891,360.4196325473128,5,769.0,136.42717046040937
586,1,199.17305490839016,431.3440249094181,774,769.0,557.5998023049136
587,2,50.51117822456161,341.05909728492736,1543,769.0,295.4688507921946
588,3,10.050802964496985,83.27723592090503,2312,769.0,81.72472694608489
589,4,256.563354138503,606.3452546395705,3081,769.0,488.5227539705291
590,5,981.1105243478012,1159.074198572175,3850,769.0,1300.0958373181963
591,6,30.254202740146308,228.95292811302195,4619,769.0,206.26077694321805
592,7,382.19303362383874,674.1963696997218,5388,769.0,709.470627142939
593,8,897.9985273391435,1123.9672744785732,6157,769.0,1219.4237130133974
594,9,35.58498576236086,205.89864021275312,6926,769.0,131.32862641668098
595,10,102.48497329843434,318.4303552693647,7696,769.0,504.8052010779197
596,11,110.26952378213058,327.4252812405802,8465,769.0,417.6036510138944
597,12,29.98632419631643,192.8068191587621,9234,769.0,120.67102467366168
598,13,968.4880873625372,978.7737676831692,10003,769.0,1229.3740973568028
599,14,15.92270064524789,120.33037415030998,10772,769.0,108.1713683083921
600,15,500.65428327628695,919.2482598474857,11541,769.0,721.871602010588
601,16,21.01775054889215,207.99964674553576,12310,769.0,150.76888144792918
602,17,937.0712917421694,1182.9401397238164,13079,769.0,772.0840373831775
603,18,914.8534453169192,1147.1495668996208,13848,769.0,1406.1291065114765
604,19,324.3419832983385,639.9867665664497,14617,769.0,747.5945790570112
605,20,480.9759254465442,738.4999198774731,15387,769.0,799.3694714752595
606,21,266.4855754019616,598.9722447725715,16156,769.0,491.64766806184656
607,22,760.0892954046462,973.4574951830764,16925,769.0,1082.4866881486153
608,23,33.484817978734625,163.5077436983619,17694,769.0,180.8831851384668
609,24,24.789480446016817,271.09880355614627,18463,769.0,309.185578961451
610,25,916.5035771469114,1038.3174285014527,19232,769.0,862.7723336964623
611,26,1078.275429765774,1155.1715918429743,20001,769.0,1072.914582879422
612,27,796.7618680549564,1106.0504254090126,20770,769.0,1010.1531503927528
613,28,634.0631556744423,797.8915930807934,21539,769.0,822.8721148252201
614,29,426.90732015992177,567.2717638514608,22308,769.0,490.1838925138084
615,30,94.93079836243182,337.1939423117063,23078,769.0,268.4465673604342
616,31,270.1394387398012,563.0978578967012,23847,769.0,376.7659579152571
617,32,14.727962339766638,152.30858317107723,24616,769.0,78.63270668730767
618,33,422.0158579495882,768.888097755356,25385,769.0,598.7170929801425
619,34,581.2535795438204,850.9076457771918,26154,769.0,755.7029087781663
620,35,825.5855993710511,1071.7581091795562,26923,769.0,1292.2506582573628
