birth,life,deltacoh,deltactcf,clife,cof,sep,face,frip_a,frip_c,reads_a,reads_c,ctcf_reads_a,ctcf_reads_c
0.0001,66.0,500,40,17.0,3.6666666666666656,74,1.0,0.003790427700356,0.0029743826548788,5026048,3943985,16777216.0,16777216.0
0.0001,66.0,500,8000,17.0,3.6666666666666656,74,1.0,0.003736543205184,0.0038010039937121,4954598,5040072,16777216.0,16777216.0
0.0001,66.0,500,800,17.0,3.6666666666666656,74,1.0,0.0037989624915647,0.0035197472911446,5037365,4667130,16777216.0,16777216.0
0.0001,66.0,500,80,17.0,3.6666666666666656,74,1.0,0.0037592086302071,0.0030643543016041,4984652,4063286,16777216.0,16777216.0
0.0001,66.0,500,8,17.0,3.6666666666666656,74,1.0,0.0037803536753524,0.002974360784335,5012690,3943956,16777216.0,16777216.0
0.0001,66.0,500,10000,17.0,33.0,74,1.0,0.0015965685569151,0.0016008800706855,2117025,2122742,16777216.0,16777216.0
0.0001,66.0,500,1600,17.0,33.0,74,1.0,0.0015939682246638,0.0015388454042144,2113577,2040485,16777216.0,16777216.0
0.0001,66.0,500,160,17.0,33.0,74,1.0,0.0016343563317939,0.0014730467417263,2167131,1953237,16777216.0,16777216.0
0.0001,66.0,500,16,17.0,33.0,74,1.0,0.0016193946173122,0.0014864564017495,2147292,1971018,16777216.0,16777216.0
0.0001,66.0,500,240,17.0,33.0,74,1.0,0.0015998483843399,0.0014725950018718,2121374,1952638,16777216.0,16777216.0
0.0001,66.0,500,1600,66.0,1.8888888888888884,74,1.0,0.0092454315450468,0.0087741379159513,12259298,11634370,16777216.0,16777216.0
0.0001,66.0,500,160,66.0,1.8888888888888884,74,1.0,0.0092621617569558,0.0051819968621048,12281482,6871247,16777216.0,16777216.0
0.0001,66.0,500,16,66.0,1.8888888888888884,74,1.0,0.0092034657421309,0.0041983518056471,12203652,5566949,16777216.0,16777216.0
0.0001,66.0,500,240,66.0,1.8888888888888884,74,1.0,0.0092308333340874,0.0055715097402352,12239941,7387735,16777216.0,16777216.0
0.0001,66.0,500,24,66.0,1.8888888888888884,74,1.0,0.0092412505003829,0.0042304351393575,12253754,5609491,16777216.0,16777216.0
0.0001,66.0,500,320,66.0,1.8888888888888884,74,1.0,0.009231323535933,0.0060327587564378,12240591,7999344,16777216.0,16777216.0
0.0001,66.0,500,32,66.0,1.8888888888888884,74,1.0,0.0091846714033739,0.0041927778335853,12178731,5559558,16777216.0,16777216.0
0.0001,66.0,500,4000,66.0,1.8888888888888884,74,1.0,0.0093028681182071,0.0091844225316677,12335458,12178401,16777216.0,16777216.0
0.0001,66.0,500,400,66.0,1.8888888888888884,74,1.0,0.0092753263160562,0.0063067861130191,12298938,8362700,16777216.0,16777216.0
0.0001,66.0,500,40,66.0,1.8888888888888884,74,1.0,0.0093196473503006,0.0043716592744228,12357707,5796752,16777216.0,16777216.0
0.0001,66.0,500,8000,33.0,33.0,74,1.0,0.0034313646525554,0.0034423919316094,4549936,4564558,16777216.0,16777216.0
0.0001,66.0,500,800,33.0,33.0,74,1.0,0.0034485647040794,0.0032424732900326,4572743,4299469,16777216.0,16777216.0
0.0001,66.0,500,80,33.0,33.0,74,1.0,0.0034523226668428,0.0028551761242439,4577726,3785919,16777216.0,16777216.0
0.0001,66.0,500,8,33.0,33.0,74,1.0,0.0034560172804446,0.0027741253969503,4582625,3678447,16777216.0,16777216.0
0.0001,66.0,500,10000,33.0,66.0,74,1.0,0.0023834382968608,0.0023429053916471,3160402,3106656,16777216.0,16777216.0
0.0001,66.0,500,1600,33.0,66.0,74,1.0,0.0022923414483609,0.0023112813393581,3039609,3064723,16777216.0,16777216.0
0.0001,66.0,500,160,33.0,66.0,74,1.0,0.0023168809527472,0.0020878473381738,3072148,2768453,16777216.0,16777216.0
0.0001,66.0,500,16,33.0,66.0,74,1.0,0.0023310244072253,0.0019937904246837,3090902,2643735,16777216.0,16777216.0
0.0001,66.0,500,240,33.0,66.0,74,1.0,0.0023134261609714,0.0021184841993616,3067567,2809077,16777216.0,16777216.0
0.0001,66.0,500,24,33.0,66.0,74,1.0,0.0023039984482472,0.0020511553529589,3055066,2719800,16777216.0,16777216.0
0.0001,66.0,500,10000,33.0,28.28571428571429,74,1.0,0.0036717181589768,0.0036969703414308,4868641,4902125,16777216.0,16777216.0
0.0001,66.0,500,1600,33.0,28.28571428571429,74,1.0,0.003712959217318,0.0035806748556016,4923326,4747919,16777216.0,16777216.0
0.0001,66.0,500,160,33.0,28.28571428571429,74,1.0,0.0037452687980341,0.0030639108574731,4966168,4062698,16777216.0,16777216.0
0.0001,66.0,500,16,33.0,28.28571428571429,74,1.0,0.0036814037932874,0.0028813792982783,4881484,3820664,16777216.0,16777216.0
0.0001,66.0,500,240,33.0,28.28571428571429,74,1.0,0.003695167152796,0.0031771127925788,4899734,4212802,16777216.0,16777216.0
0.0001,66.0,500,24,33.0,28.28571428571429,74,1.0,0.0036595694489316,0.0029162266162407,4852532,3866871,16777216.0,16777216.0
0.0001,66.0,500,320,33.0,28.28571428571429,74,1.0,0.0037211312591611,0.0032350772754189,4934162,4289662,16777216.0,16777216.0
0.0001,66.0,500,32,33.0,28.28571428571429,74,1.0,0.0036512978584061,0.0029047785177563,4841564,3851691,16777216.0,16777216.0
0.0001,66.0,500,4000,33.0,28.28571428571429,74,1.0,0.0037319971486844,0.0037797277253035,4948570,5011860,16777216.0,16777216.0
0.0001,66.0,500,400,33.0,28.28571428571429,74,1.0,0.003734812415591,0.0032959724111384,4952303,4370408,16777216.0,16777216.0
0.0001,66.0,500,40,17.0,66.0,74,1.0,0.0009988797756595,0.0009048522742801,1324499,1199820,10421011.0,10458879.0
0.0001,66.0,500,8000,17.0,66.0,74,1.0,0.0009967771868205,0.0009796254013244,1321711,1298968,10467728.0,10488855.0
0.0001,66.0,500,800,17.0,66.0,74,1.0,0.0009698349392345,0.0009986150666629,1285986,1324148,10417137.0,10499877.0
0.0001,66.0,500,80,17.0,66.0,74,1.0,0.0009925101682945,0.0009799338514088,1316053,1299377,10402248.0,10519705.0
0.0001,66.0,500,8,17.0,66.0,74,1.0,0.0009843139934376,0.0009426898235001,1305185,1249992,10458295.0,10417413.0
