Rad21,ctcf
18255,10519.589552238804
25673,8683.78378378378
30335,8069.444444444449
11447,5188.235294117641
9167,2040.155440414513
3702,1821.891891891897
376,1226.047904191617
11382,12270.34883720931
40026,9216.15720524018
2502,2143.9790575916268
20585,7769.999999999994
4047,6591.666666666674
3838,1263.888888888889
814,2063.3187772925758
24638,6385.1351351351295
31021,9086.538461538465
4644,2226.439790575922
41678,6863.12849162011
856,1318.60465116279
34782,6600.297914597818
965,3748.3624454148494
20710,3355.6701030927798
11398,3100.393700787396
14775,5487.0967741935565
29548,5009.312320916903
7622,6400.8620689655245
13439,3656.896551724138
1613,832.3170731707323
12589,7875.0
36028,9831.210191082804
966,1676.806083650187
45731,8697.215777262183
40024,6096.774193548381
28761,8238.461538461537
3047,2779.41176470588
29046,6750.000000000007
6394,2357.375271149682
14609,8042.553191489355
4359,2423.0769230769256
7911,1852.9411764705817
4779,1954.379562043797
25159,9978.26086956521
3304,1546.012269938651
42504,8794.416243654829
30169,8357.142857142855
2656,2468.9189189189224
2209,2337.328767123284
4838,1491.1242603550286
6263,1852.9411764705817
28486,8626.556016597518
32773,10960.051546391756
49169,10183.189655172417
23226,3579.54545454545
42457,8559.782608695648
39443,7679.104477611933
15276,3536.842105263159
15749,9898.089171974512
5821,951.9230769230765
46749,11426.470588235286
5248,1591.4634146341402
18147,3937.5
3905,1677.966101694918
1221,1762.237762237764
52878,10713.197969543144
40258,6016.423357664228
56798,8750.000000000007
35242,7504.411764705879
20517,8875.182481751832
11698,4970.000000000006
5607,10850.000000000002
469,869.6319018404912
13999,7017.326732673275
706,932.242990654206
15482,5593.965517241371
3368,1475.5600814663944
23225,5540.858725761782
36372,10521.516393442624
35840,7650.000000000004
8435,2625.000000000005
12715,6311.371841155237
24980,11025.0
15965,10524.53271028038
8899,4235.593220338977
11542,7560.0
29874,8055.343511450379
42781,9068.181818181822
34829,11063.148788927345
28944,6990.641711229944
24204,5855.187319884725
45209,12210.674157303378
6911,3732.2274881516623
4131,1893.9873417721517
21901,7787.011173184356
30033,10903.846153846149
29509,7431.635388739952
40662,10808.823529411771
9627,3188.6503067484614
4162,2216.666666666671
2275,1011.4678899082564
10773,4243.523316062185
14843,4103.873239436619
20921,7922.155688622755
14706,2205.0
15537,7217.08860759494
1345,1639.2857142857106
5971,9019.823788546262
30476,9271.276595744686
18571,7437.499999999996
20928,9223.756906077346
31231,9638.059701492542
5438,3274.0700218818324
45538,10076.086956521736
9136,5510.330578512397
9918,3445.3124999999995
52917,13067.3076923077
512,881.5931108719054
35492,12265.909090909096
8127,10654.41176470588
44887,11793.83886255924
12222,10738.636363636366
8359,1936.475409836063
26061,4820.043103448282
1400,1016.1290322580652
13422,5966.573816155995
24534,9727.941176470582
11563,4424.157303370781
23244,13059.375000000004
25867,7979.304635761583
24289,5338.983050847463
38887,5361.702127659581
25370,5249.999999999995
20155,11996.4953271028
15986,5855.187319884725
13805,7387.168141592914
24933,8852.189781021902
26626,7992.537313432833
4549,5378.048780487799
34997,12020.780856423182
12023,5249.9999999999945
22350,9542.410714285725
34511,11124.535315985138
5502,2685.245901639352
35644,11108.443708609271
23817,9831.210191082804
15468,3541.86602870814
35635,9437.24696356276
2678,1675.531914893613
5872,1453.846153846154
1848,1294.5205479452054
11326,3157.51789976134
38318,8396.139705882359
12715,3156.128404669264
17018,5328.693790149886
12952,6991.463414634143
24881,9083.096590909085
43504,11226.92307692308
5607,2979.729729729727
44392,7058.689024390244
31781,10710.0
45653,8429.577464788736
786,1618.1506849315028
23081,12932.339449541289
13001,9916.666666666672
41974,11089.285714285712
35602,6948.529411764702
10280,6494.1780821917855
1370,800.8474576271179
12682,6391.304347826081
17824,5478.260869565221
35309,10339.694656488557
1651,1288.6363636363635
38476,9527.777777777774
6315,4706.470588235298
48802,11184.039087947884
31992,8437.500000000005
6623,1730.2816901408378
2120,1626.574307304791
4488,1847.507331378303
20577,7875.0
20817,10837.155963302755
29976,6279.850746268658
15748,7853.773584905655
574,1119.668246445497
37107,10967.465753424653
11749,6382.352941176476
37011,9953.124999999993
8089,6671.397379912665
12363,9049.342105263158
47780,9889.53488372093
13106,9139.598540145991
9653,3886.36363636364
25367,4282.894736842113
49711,9584.3023255814
697,1263.8888888888887
20634,7087.5
4355,4434.466019417469
32066,6678.994082840243
16072,11611.313868613142
42167,9852.7397260274
41047,6937.499999999993
26394,7744.061757719716
53942,10231.751824817513
40061,10807.180851063824
2314,1417.4999999999998
33903,10766.94915254238
22836,12118.876080691636
13102,4941.176470588228
41660,8703.947368421046
54019,9267.26519337017
4757,3593.959731543621
17922,3276.459854014599
1556,1852.9411764705817
3780,2010.6382978723395
10706,8086.6935483871
42250,12001.5
1243,2870.3271028037443
3900,1349.9999999999998
831,1538.3720930232562
46261,10693.99538106236
51200,10406.250000000004
11451,6056.675062972286
49954,10723.404255319145
12834,13247.663551401873
59618,7842.32365145229
15654,3117.1875000000045
2531,2895.739910313894
8261,3607.929515418496
27980,8845.890410958898
22013,5419.745958429558
27240,6247.206703910608
8387,4272.870662460572
6432,2386.363636363644
7044,3383.63171355499
1661,1047.4137931034484
9888,4941.176470588229
3078,3121.6216216216185
1277,1027.1739130434778
9006,3480.1699716713947
25898,8027.027027027032
20889,4347.285067873298
12466,11751.923076923074
15395,8419.090909090915
4517,1230.46875
8494,2677.5
3743,3888.888888888896
32052,8357.142857142855
6857,5923.076923076922
47281,7404.382470119528
8059,2941.2650602409603
49461,10426.056338028162
27093,7497.0
53737,9799.999999999998
1678,1610.7954545454502
1407,1607.142857142863
47769,12440.506329113923
8108,3748.36244541485
14647,7419.999999999999
13309,3028.8461538461497
8303,2298.444976076555
27439,8069.444444444449
6275,3214.2857142857106
34910,9523.916967509029
7011,2250.0000000000023
27979,5468.749999999996
2011,2993.801652892559
51359,7799.999999999995
15798,9407.432432432428
33136,5322.115384615385
246,2272.7848101265754
16461,7487.70491803279
38025,12166.167664670656
7545,3297.833935018056
43784,11703.125000000007
1998,1195.312499999999
7637,5466.17647058824
553,2250.0000000000023
9184,3238.0239520958016
413,825.3275109170302
19027,4522.2772277227705
8588,3181.818181818181
13071,4961.705202312139
1995,3211.985688729867
1404,918.7499999999994
1542,2060.12658227848
23175,6808.357348703175
19140,5784.722222222224
30567,5839.887640449446
25630,11161.417322834652
15747,6999.999999999993
4691,2073.843416370112
11925,3634.615384615389
27509,6913.636363636364
654,2333.333333333332
34845,6256.849315068497
19193,4169.117647058821
9211,6251.288659793808
10836,5798.076923076921
18884,5702.586206896545
38488,9282.319391634976
208,941.235059760956
28744,13650.000000000004
14969,6125.000000000002
23635,10500.000000000004
18423,3967.5572519084
11265,5585.463258785943
49423,11670.18072289157
5256,1183.526011560693
29295,10434.375000000002
28067,7810.714285714288
19455,7101.993865030675
3841,2937.8238341968845
40508,11634.422110552756
2971,9785.50295857988
26562,6481.1946902654845
17493,8705.69620253164
57733,13727.064220183487
35024,7571.052631578949
7534,3937.5
36885,11714.627151051627
34615,8238.461538461537
27089,7566.847826086961
40749,11134.88372093024
5401,9493.150684931505
124,1749.999999999998
24456,4433.646112600541
39309,11071.782178217822
1020,825.6880733944957
28346,7017.326732673275
50799,8523.529411764703
2522,2467.741935483877
8508,1876.0387811634316
19536,3499.9999999999964
6446,792.1597633136098
3752,2453.5175879397016
3514,2041.6666666666729
10026,4318.334735071487
46802,12949.999999999996
14448,3989.999999999995
38796,7875.0
38868,7716.44295302013
28875,7212.616822429909
29447,9873.134328358208
3586,2117.334905660379
19189,5690.322580645158
36950,11035.249457700653
18795,7875.0
9150,2791.806020066889
1094,1361.4406779661017
42219,9856.451612903224
37964,12629.032258064512
25653,11602.981651376143
43009,8723.076923076924
8687,3465.686274509797
874,1321.997105643995
17323,6072.289156626509
9044,2552.752293577983
16454,4875.000000000007
18959,5603.365384615389
5530,2074.59677419355
8905,3094.9208992506265
9279,3286.9565217391296
2868,1078.7671232876712
40516,5988.281249999995
167,810.6617647058821
16094,2491.0714285714216
19581,5378.0487804878
24103,8241.935483870975
24094,5334.22459893048
9299,1737.3417721518915
26411,9386.00451467269
29517,6601.1029411764775
