,Unnamed: 0,Rad21,ctcf,ctcfloc,nearest
279,51,12.903079565522413,75.65772961997617,19585,11.0
280,52,938.6939690833876,996.8567221222244,16825,164.0
281,53,11.571541234245348,86.2061630766074,16329,50.0
282,54,361.32678230157,431.03081538303695,17974,40.0
283,55,326.5716041318915,507.9769814028225,23799,61.0
284,56,74.12004741514865,323.2019843400193,4448,1.0
285,57,3.724251880881535,125.82242046293123,15232,24.0
286,58,240.13651692188597,438.2818010623772,5290,154.0
287,59,370.5799598422721,536.6147326958849,12677,50.0
288,60,259.34581609695914,543.5659543746674,6881,29.0
289,61,409.26892130536805,723.7060603962098,8554,71.0
290,62,243.4417059776955,491.14490536227294,8659,3.0
291,63,1274.7418003241646,1029.093714117345,9434,553.0
292,64,471.54030529549794,574.7077538440499,27524,111.0
293,65,580.0505406778431,738.3605937862575,19930,145.0
294,66,46.32671940392384,159.58826883603362,11642,172.0
295,67,543.9773423325349,795.95888121326,14365,37.0
296,68,356.48728257977115,797.5785061305222,10908,14.0
297,69,456.744683939328,668.0977638437074,28541,56.0
298,70,699.0441057648111,908.4202320580256,26770,93.0
299,71,309.9645499189588,512.8161495839213,13727,72.0
300,72,31.051203522268185,185.6748127803857,595,53.0
301,73,751.2106684084476,747.1200799972645,683,88.0
302,74,106.8610203933522,402.5704074773628,29985,12.0
303,75,122.33254953189636,474.4787215736472,4476,16.0
304,76,39.27700123376152,154.32711711616443,18743,21.0
305,77,118.8178290635508,330.68357823708124,25948,27.0
306,78,337.6767689962987,633.120673087215,23907,44.0
307,79,259.5215521203764,468.28039202107686,22261,51.0
308,80,278.0617025908992,628.0598959318877,24078,171.0
309,81,535.4271088855021,779.6035617362759,2933,1.0
310,82,40.53418970897743,206.63649576415256,28652,50.0
311,83,1362.7585117449255,1070.598444303772,29880,28.0
312,84,223.6714033432518,637.8259464627602,10922,14.0
313,85,231.0928707937199,597.0662472812699,14552,150.0
314,86,61.59547620775576,356.2763935269379,19477,10.0
315,87,11.57830031206909,84.30920594289232,20836,30.0
316,88,218.5209860415608,574.2386046572379,6523,12.0
317,89,327.4975977937441,588.8786299662308,27245,61.0
318,90,734.6914822072235,876.5001014291518,20461,74.0
319,91,496.5150978542226,767.6453569202658,22210,51.0
320,92,267.1863463724992,386.2036105832012,25189,148.0
321,93,446.7142124488957,696.4775155496203,25382,26.0
322,94,67.14467910104749,219.88818407946167,3396,82.0
323,95,672.6296296296296,806.8744623505855,25800,87.0
324,96,606.6204756029707,748.6903197618649,21412,78.0
325,97,813.7186201224084,816.1530232104843,12727,50.0
326,98,636.9281805646273,862.0616307660739,6852,29.0
327,99,70.4431090790333,569.2343466645827,55,50.0
328,100,719.1523622904419,831.9578912790047,21490,78.0
329,101,896.7268548757771,989.1022921421272,22514,5.0
330,102,83.79228778092265,244.49105782261893,24459,26.0
331,103,52.05841739845658,281.489512086881,28485,56.0
332,104,39.31755570070397,141.4665240231512,1811,167.0
333,105,1653.2501584536851,1138.256133827049,3788,19.0
334,106,287.3081210537775,530.4103803739531,20735,23.0
335,107,16.566499745990274,288.5065858838899,20258,15.0
336,108,616.2251251905072,643.6726843053357,23863,44.0
337,109,310.14028594237607,653.3519727911302,4171,10.0
338,110,231.87016474345015,486.189548079564,22838,214.0
339,111,72.69388199433921,299.8475237447213,29973,12.0
340,112,328.93052229237725,495.7178460224753,28602,5.0
341,113,64.56271137237825,355.2738841945039,4577,29.0
342,114,291.4717129932022,704.1682373415516,383,92.0
343,115,514.8659941456806,686.6112019493665,7598,73.0
344,116,895.4426300892662,908.4803339611702,12817,90.0
345,117,49.34802719113627,410.4696079971499,4519,19.0
346,118,748.4597237341849,921.2479516843416,1501,3.0
347,119,53.75494593221569,156.7727380977861,3314,82.0
348,120,201.30561482449136,462.494785882808,7792,3.0
349,121,806.1349348041706,885.94746940191,26489,54.0
350,122,868.000774124876,1020.9514215347236,23738,61.0
351,123,40.85186636669327,226.7340179549132,8625,31.0
352,124,573.1630403754506,905.4937434611592,20273,15.0
353,125,497.4951641386651,770.7008723714838,19596,11.0
354,126,41.19657933570409,231.67906326838244,15813,12.0
355,127,12.152821927087112,141.4665240231512,10886,22.0
356,128,151.9711057890026,412.91104862171215,2663,75.0
357,129,72.01121513414132,239.461564101687,14402,37.0
358,130,223.0157727943489,463.0502473829201,7789,3.0
359,131,774.8471635580714,778.9427407473063,20387,74.0
360,132,133.1538331277064,323.92618853028256,6511,12.0
361,133,248.01084258654475,545.3041013217951,18764,21.0
362,134,856.2940513341558,904.7012383093428,13172,114.0
363,135,26.86057527154849,100.65152013268762,25514,21.0
364,136,105.21180540435928,334.972519383389,4382,65.0
365,137,201.77875027215327,552.632886477854,3655,133.0
366,138,765.4114909161284,810.6404106852906,2932,1.0
367,139,668.9729685269855,867.3318765436834,16379,50.0
368,140,826.2499504076251,854.2247068500191,4660,6.0
369,141,418.968197982437,766.2770051253997,27635,111.0
370,142,641.4094491617678,1087.3302904845084,26245,32.0
371,143,159.75756344195273,548.9745708361064,12523,35.0
372,144,56.49237245083097,200.3710817456277,28228,2.0
373,145,262.4414737402327,576.2822956354025,18109,135.0
374,146,81.96057769068872,416.7973990495155,18791,27.0
375,147,806.8987105982533,933.3599611301852,503,28.0
376,148,54.76880760577691,294.7219250482309,22118,92.0
377,149,13.369455935360572,113.99162059716686,15524,52.0
378,150,320.61009749135155,474.9724782742253,542,39.0
379,151,109.84853279144592,251.474332068777,25493,21.0
380,152,48.71943295352831,251.73510738720333,26582,93.0
381,153,9.881771778309988,83.7891678501605,16186,45.0
382,154,435.3792389384813,698.927097948458,10459,60.0
383,155,1104.7442339792435,1018.5589729666852,1978,167.0
384,156,722.7481916926724,909.2005813622716,21062,65.0
385,157,236.52041028618427,619.5538015210597,20205,53.0
386,158,379.0288071219488,931.9585197471076,7525,73.0
387,159,49.63190845973341,320.44311123425734,29730,53.0
388,160,494.9402327212909,715.1918714503719,17934,40.0
389,161,33.200590270217965,143.6769384610128,2459,47.0
390,162,26.05624501052326,112.68779487138228,19390,77.0
391,163,466.545346783753,944.8738504144682,23259,34.0
392,164,859.2883228100733,901.65260936422,23326,33.0
393,165,31.03092628879696,124.29725838952687,6027,29.0
394,166,48.62480586399593,299.84752374472123,20662,60.0
395,167,345.7606260734935,783.1610747298577,28057,43.0
396,168,616.2859568909209,764.9385300072763,17715,219.0
397,169,9.023368894694825,72.30923246268512,16557,12.0
398,170,300.941181024264,731.2660729946692,23214,45.0
399,171,111.29497544572658,281.288088464636,16989,83.0
400,172,1191.8417108159758,1176.3249008446755,22509,5.0
401,173,28.401645015361535,145.18932728691794,6268,18.0
402,174,231.51193361879183,590.0332939465576,23293,33.0
403,175,433.4191063695962,730.2169107665563,28597,5.0
404,176,103.91406246220092,296.16841302392703,13799,72.0
405,177,433.7705784164308,815.9231209504251,29908,28.0
406,178,11.48367322253671,125.04101757276386,20806,8.0
407,179,179.90637443452596,391.50397205096766,25432,11.0
408,180,417.8867455306384,886.6919630736763,4548,29.0
409,181,13.36269685753683,85.10224247842031,15825,12.0
410,182,1200.8448024771994,1229.8968256345388,25041,148.0
411,183,120.94693857802936,273.78037720812034,22624,110.0
412,184,732.0148873890219,926.8302823897684,5444,154.0
413,185,995.8149357718266,990.2656681620545,10052,65.0
414,186,179.27102111909426,324.7656005102103,25443,11.0
415,187,289.7684253816193,564.2585219559757,23063,48.0
416,188,580.3344219464402,783.0856620120209,21272,103.0
417,189,8.76652393739265,124.13687483031464,4027,134.0
418,190,511.8514454362919,959.0435642272572,475,28.0
419,191,204.3269226117038,493.4076325685492,15256,24.0
420,192,89.28741805162444,305.6400327261533,25610,38.0
421,193,279.7514720468345,490.9367931142394,5848,36.0
422,194,242.6576529501415,551.7194436902873,5812,36.0
423,195,60.54781914507584,86.2061630766074,4500,19.0
424,196,23.102528001548247,122.60432082006388,21772,22.0
425,197,666.4788688100249,743.248991499869,12558,35.0
426,198,873.0903597261532,882.1530400468014,8463,91.0
427,199,96.9792486150422,380.49616806226686,2506,46.0
428,200,70.21330043302609,285.3721260467005,16141,45.0
429,201,239.79180395287517,324.05208289038023,20602,60.0
430,202,20.561114739821463,142.44645586462124,17072,15.0
431,203,651.0411350605995,746.4439532280354,14937,177.0
432,204,27.604073832160047,135.52060570995047,29677,53.0
433,205,52.85598858165808,425.8790526493753,121,66.0
434,206,23.927135496044706,110.02951868467272,23387,61.0
435,207,11.821627113723782,89.76387774326108,2738,75.0
436,208,652.4132278588189,862.8787507952355,24733,248.0
437,209,1026.1699542782494,1003.1262612550676,15472,52.0
438,210,319.501608728258,488.9577080323968,12106,417.0
439,211,403.1519558748821,871.4522803386888,4654,6.0
440,212,73.8023707574328,379.4353051401605,23634,104.0
441,213,12.024399448436023,264.1940122148765,4638,16.0
442,214,66.25923990613735,363.297401537131,28108,8.0
443,215,256.6016305005201,593.8646789721848,10851,35.0
444,216,250.1534702566708,571.2246765480247,20997,65.0
445,217,212.21476643201004,610.8022042379142,21794,22.0
446,218,167.26013982630573,234.2205185477635,21169,103.0
447,219,326.16605946246705,589.9890004780525,1504,3.0
448,220,278.2306795364927,601.2327270983902,28230,2.0
449,221,589.9052761448581,788.1706338432671,10762,33.0
450,222,95.9180733967148,228.07299837590563,26863,93.0
451,223,145.50942738950576,486.1462311205406,11123,201.0
452,0,11.808108958076298,192.1544330210227,4253,5.0
453,1,36.76938336115344,255.56012516844444,4876,5.0
454,2,153.56624815540556,490.60706303239886,25980,36.0
455,3,791.2379272806444,998.4404976600362,289,9.0
456,4,59.45284853762972,398.7476182135683,16522,33.0
457,5,582.6257493286886,637.1396243041464,10996,64.0
458,6,54.99185717396037,245.30353151619948,2269,109.0
459,7,777.3277451193845,1057.8714796636093,10383,83.0
460,8,80.46006241381812,308.6495611253829,10932,64.0
461,9,86.13768778576093,423.1485918654438,3515,1.0
462,10,92.6872341969664,288.7255492594189,15762,39.0
463,11,18.37793260275298,150.35736766792476,19778,14.0
464,12,5.819566006241382,132.14416310801363,22804,39.0
465,13,287.0918305634177,557.6376792025222,3017,57.0
466,14,169.15944069477706,470.6584547506506,4221,32.0
467,15,252.9990420204659,489.5248415698274,3761,81.0
468,16,627.0058543193749,965.0757358334675,12023,67.0
469,17,997.768309262888,1016.3074544803752,15991,18.0
470,18,548.2423204393158,891.354672679522,18664,31.0
471,19,518.7997774390981,946.3141236263564,26940,89.0
472,20,1277.9591213682656,1164.9434917753108,1372,22.0
473,21,468.8501923216489,710.4717097987701,1090,16.0
474,22,308.1869124513148,572.3749068711311,10099,77.0
475,23,834.070203449694,1000.1693989546852,8977,61.0
476,24,943.9254953189636,795.0959579554292,6614,229.0
477,25,23.974449040810896,182.6540684311271,12661,44.0
478,26,349.1942376079541,561.5860941424096,8439,61.0
479,27,386.8355420083702,623.4798092703394,131,42.0
480,28,16.661126835522655,185.3205511819467,16660,38.0
481,29,226.3006846166872,463.9787191507064,24079,18.0
482,30,186.42212545661272,590.4398956262011,5498,86.0
483,31,182.0287248711808,655.7565897329973,8635,129.0
484,32,578.45539831144,831.1133815676333,7189,46.0
485,33,296.5275032053608,609.0775185941997,28272,314.0
486,34,6.590100878147906,121.9448391543066,10537,47.0
487,35,9.482986186709242,133.5036709589192,27354,124.0
488,36,5.562721048939206,89.68467264970865,1437,65.0
489,37,9.46270895323802,146.08701385830855,1506,69.0
490,38,320.67092919176525,882.6684463440604,16622,38.0
491,39,103.75860367225488,297.4513911072286,18536,8.0
492,40,61.58195805210828,298.3740070846084,26699,24.0
493,41,154.92482279797758,572.7465788885805,25225,113.0
494,42,592.31150785011,917.8676210151036,24929,111.0
495,43,393.70276507729153,648.0654109650933,15077,41.0
496,44,296.47343058277085,463.97871915070624,21448,238.0
497,45,914.2599027505624,777.6643871470997,29129,52.0
498,46,618.4083073275757,933.0295038026868,16338,93.0
499,47,416.3591939424728,573.9256763232456,20903,155.0
