birth,life,deltactcf,clife,cof,sep,face,frip
0.0005,50,40,17.0,1.7,74,1.0,0.011275767475157787
0.0005,50,4,17.0,1.7,100,1.0,0.011570275327021404
0.0005,50,4,17.0,1.7,74,1.0,0.011370880671772622
0.0005,50,5000,17.0,1.7,100,1.0,0.011316642203906515
0.0005,50,5000,17.0,1.7,74,1.0,0.011270824467392153
0.0005,50,8,17.0,1.7,100,1.0,0.011733231181148083
0.0005,50,8,17.0,1.7,74,1.0,0.011294265292120097
0.00075,50,1000,17.0,1.7,100,1.0,0.011633787641736157
0.00075,50,1000,17.0,1.7,74,1.0,0.011397861255826707
0.00075,50,100,17.0,1.7,100,1.0,0.011682306166228488
0.00075,50,100,17.0,1.7,74,1.0,0.011225004869805592
0.00075,50,10,17.0,1.7,100,1.0,0.011462013903450056
0.00075,50,10,17.0,1.7,74,1.0,0.011379148795203893
0.00075,50,1500,17.0,1.7,100,1.0,0.01147146566880111
0.00075,50,1500,17.0,1.7,74,1.0,0.011199972207988466
0.00075,50,200,17.0,1.7,100,1.0,0.011644432974725399
0.00075,50,200,17.0,1.7,74,1.0,0.011239584509427572
0.00075,50,20,17.0,1.7,100,1.0,0.011714414748624977
0.00075,50,20,17.0,1.7,74,1.0,0.011426433676969976
0.00075,50,3000,17.0,1.7,100,1.0,0.01159674833465056
0.00075,50,3000,17.0,1.7,74,1.0,0.011271700412041384
0.00075,50,400,17.0,1.7,100,1.0,0.01138554170228552
0.00075,50,400,17.0,1.7,74,1.0,0.011439493440961207
0.00075,50,40,17.0,1.7,100,1.0,0.011820372909240472
0.00075,50,40,17.0,1.7,74,1.0,0.01139157207250241
0.00075,50,4,17.0,1.7,100,1.0,0.011654136357038016
0.00075,50,4,17.0,1.7,74,1.0,0.011329087193714043
0.00075,50,5000,17.0,1.7,100,1.0,0.01161636961886482
0.00075,50,5000,17.0,1.7,74,1.0,0.011315564643102185
0.00075,50,8,17.0,1.7,100,1.0,0.011761609058210616
0.00075,50,8,17.0,1.7,74,1.0,0.011627259496741262
0.001,50,1000,17.0,1.7,100,1.0,0.011520053549250795
0.001,50,1000,17.0,1.7,74,1.0,0.011404268307057062
0.001,50,100,17.0,1.7,100,1.0,0.011798830626300424
0.001,50,100,17.0,1.7,74,1.0,0.011627830225549543
0.001,50,10,17.0,1.7,100,1.0,0.011736963499411281
0.001,50,10,17.0,1.7,74,1.0,0.011453018473002667
0.001,50,1500,17.0,1.7,100,1.0,0.011477623832642461
0.001,50,1500,17.0,1.7,74,1.0,0.011385425571380184
0.001,50,200,17.0,1.7,100,1.0,0.011577788351425023
0.001,50,200,17.0,1.7,74,1.0,0.011263813188053902
0.001,50,20,17.0,1.7,100,1.0,0.011716038968370458
0.001,50,20,17.0,1.7,74,1.0,0.011367169693803995
0.001,50,3000,17.0,1.7,100,1.0,0.011497616090582106
0.001,50,3000,17.0,1.7,74,1.0,0.011372121386573232
0.001,50,400,17.0,1.7,100,1.0,0.011668352715366377
0.001,50,400,17.0,1.7,74,1.0,0.011432016893572726
0.001,50,40,17.0,1.7,100,1.0,0.011905566218809982
0.001,50,40,17.0,1.7,74,1.0,0.011584070214531996
0.001,50,4,17.0,1.7,100,1.0,0.011623745544282972
0.001,50,4,17.0,1.7,74,1.0,0.011413955808220232
