birth,deltactcf,sep,face,frip
0.5,1500,1000,1.0,0.0003895
0.5,150,1000,1.0,0.0065515
0.5,200,1000,1.0,0.003885
0.5,3000,1000,1.0,0.00031583333333333333
0.5,300,1000,1.0,0.0016286666666666667
0.5,30,1000,1.0,0.020667166666666667
0.5,400,1000,1.0,0.0007436666666666667
0.5,500,1000,1.0,0.000632
0.5,50,1000,1.0,0.0174335
0.5,600,1000,1.0,0.00022116666666666666
0.5,700,1000,1.0,0.00034933333333333333
0.5,800,1000,1.0,0.0003335
0.5,900,1000,1.0,0.00035516666666666666
1.0,1000,1000,1.0,0.00035933333333333336
1.0,100,1000,1.0,0.017325
1.0,10,1000,1.0,0.0462315
1.0,1100,1000,1.0,0.0003605
1.0,1300,1000,1.0,0.000225
1.0,1500,1000,1.0,0.00023133333333333334
1.0,150,1000,1.0,0.011289
1.0,200,1000,1.0,0.005640333333333333
1.0,3000,1000,1.0,0.00023216666666666665
1.0,300,1000,1.0,0.002676
1.0,30,1000,1.0,0.035680833333333335
1.0,400,1000,1.0,0.0013371666666666666
1.0,500,1000,1.0,0.00036766666666666664
1.0,50,1000,1.0,0.027530166666666668
1.0,600,1000,1.0,0.0004901666666666666
1.0,700,1000,1.0,0.0003161666666666667
1.0,800,1000,1.0,0.00046533333333333333
1.0,900,1000,1.0,0.00017083333333333333
0.0001,1000,1000,1.0,0.00037066666666666666
0.0001,100,1000,1.0,0.00012133333333333333
0.0001,10,1000,1.0,0.00017883333333333333
0.0001,1100,1000,1.0,0.00017416666666666665
0.0001,1300,1000,1.0,8.95e-05
0.0001,1500,1000,1.0,0.000355
0.0001,150,1000,1.0,0.00018866666666666665
0.0001,200,1000,1.0,0.0003288333333333333
0.0001,3000,1000,1.0,0.000285
0.0001,300,1000,1.0,0.00016383333333333332
0.0001,30,1000,1.0,0.00021583333333333334
0.0001,400,1000,1.0,0.0002515
0.0001,500,1000,1.0,0.00024983333333333335
0.0001,50,1000,1.0,0.00019666666666666666
0.0001,600,1000,1.0,0.00019116666666666666
0.0001,700,1000,1.0,0.00018866666666666665
0.0001,800,1000,1.0,0.0002545
0.0001,900,1000,1.0,0.00027466666666666666
0.001,1000,1000,1.0,0.0002125
0.001,100,1000,1.0,0.00021416666666666668
0.001,10,1000,1.0,0.0003271666666666667
0.001,1100,1000,1.0,0.000204
0.001,1300,1000,1.0,0.0002821666666666667
0.001,1500,1000,1.0,0.00020166666666666667
0.001,150,1000,1.0,0.0002761666666666667
0.001,200,1000,1.0,0.00029866666666666664
0.001,3000,1000,1.0,0.00026233333333333333
0.001,300,1000,1.0,0.0002455
0.001,30,1000,1.0,0.00022166666666666667
0.001,400,1000,1.0,0.00020333333333333333
0.001,500,1000,1.0,0.00015783333333333334
0.001,50,1000,1.0,0.00023483333333333334
0.001,600,1000,1.0,0.00015733333333333333
0.001,700,1000,1.0,0.00020266666666666667
0.001,800,1000,1.0,0.00030816666666666666
0.001,900,1000,1.0,0.00023483333333333334
0.01,1000,1000,1.0,0.00029133333333333333
0.01,100,1000,1.0,0.00019133333333333334
0.01,10,1000,1.0,0.0006075
0.01,1100,1000,1.0,0.00012733333333333333
0.01,1300,1000,1.0,0.00024316666666666668
0.01,1500,1000,1.0,0.0001425
0.01,150,1000,1.0,0.00025066666666666667
0.01,200,1000,1.0,0.00017183333333333333
0.01,3000,1000,1.0,0.000227
0.01,300,1000,1.0,0.00021366666666666667
0.01,30,1000,1.0,0.000318
0.01,400,1000,1.0,0.0001465
0.01,500,1000,1.0,0.00019916666666666667
0.01,50,1000,1.0,0.000251
0.01,600,1000,1.0,0.0003491666666666667
0.01,700,1000,1.0,0.000209
0.01,800,1000,1.0,0.0003916666666666667
0.01,900,1000,1.0,8.016666666666667e-05
0.1,1000,1000,1.0,0.00011333333333333333
0.1,100,1000,1.0,0.0008073333333333333
0.1,10,1000,1.0,0.0035613333333333335
0.1,1100,1000,1.0,0.000152
0.1,1300,1000,1.0,0.0001585
0.1,1500,1000,1.0,0.0002615
0.1,150,1000,1.0,0.0008933333333333333
0.1,200,1000,1.0,0.00047233333333333334
0.1,3000,1000,1.0,0.0002781666666666667
0.1,300,1000,1.0,0.0004471666666666667
0.1,30,1000,1.0,0.002696333333333333
0.1,400,1000,1.0,0.0002255
0.1,500,1000,1.0,0.0002255
0.1,50,1000,1.0,0.001854
0.1,600,1000,1.0,0.0002525
0.1,700,1000,1.0,0.00015816666666666667
0.1,800,1000,1.0,0.000263
0.1,900,1000,1.0,0.00020766666666666665
0.3,1000,1000,1.0,0.00011883333333333334
0.3,100,1000,1.0,0.0030923333333333332
0.3,10,1000,1.0,0.007418833333333334
0.3,1100,1000,1.0,0.0001295
0.3,1300,1000,1.0,0.00019183333333333333
0.3,1500,1000,1.0,0.00024483333333333334
0.3,150,1000,1.0,0.002273
0.3,200,1000,1.0,0.0015946666666666668
0.3,3000,1000,1.0,0.00017483333333333335
0.3,300,1000,1.0,0.0007585
0.3,30,1000,1.0,0.0070905
0.3,400,1000,1.0,0.00033883333333333335
0.3,500,1000,1.0,9.716666666666667e-05
0.3,50,1000,1.0,0.00573
0.3,600,1000,1.0,0.0003935
0.3,700,1000,1.0,0.00012416666666666666
0.3,800,1000,1.0,0.00025616666666666664
0.3,900,1000,1.0,0.000137
0.5,1000,1000,1.0,0.00010033333333333334
0.5,100,1000,1.0,0.005269666666666666
0.5,10,1000,1.0,0.012264666666666667
0.5,1100,1000,1.0,0.000216
0.5,1300,1000,1.0,0.000122
0.5,1500,1000,1.0,0.0002035
0.5,150,1000,1.0,0.0035106666666666667
0.5,200,1000,1.0,0.0019786666666666668
0.5,3000,1000,1.0,0.00011783333333333333
0.5,300,1000,1.0,0.000862
0.5,30,1000,1.0,0.0102345
0.5,400,1000,1.0,0.0004806666666666667
0.5,500,1000,1.0,0.00019083333333333333
0.5,50,1000,1.0,0.0089235
0.5,600,1000,1.0,0.00010766666666666666
0.5,700,1000,1.0,0.00022366666666666666
0.5,800,1000,1.0,0.000119
0.5,900,1000,1.0,0.00033183333333333334
1.0,1000,1000,1.0,0.00011483333333333334
1.0,100,1000,1.0,0.007412833333333333
1.0,10,1000,1.0,0.0208415
1.0,1100,1000,1.0,0.0001255
1.0,1300,1000,1.0,8.533333333333334e-05
1.0,1500,1000,1.0,0.00017633333333333333
1.0,150,1000,1.0,0.0044355
1.0,200,1000,1.0,0.0029816666666666668
1.0,3000,1000,1.0,6.266666666666667e-05
1.0,300,1000,1.0,0.0014606666666666668
1.0,30,1000,1.0,0.0183745
1.0,400,1000,1.0,0.0005198333333333333
1.0,500,1000,1.0,0.0002825
1.0,50,1000,1.0,0.013978666666666667
