birth,life,deltactcf,clife,cof,sep,face,frip
0.0001,66,1000,17.0,1.7,74,1.0,0.011718391239560935
0.0001,66,100,17.0,1.7,100,1.0,0.012451329860159035
0.0001,66,100,17.0,1.7,74,1.0,0.011939817887881567
0.0001,66,10,17.0,1.7,100,1.0,0.012290956305746868
0.0001,66,10,17.0,1.7,74,1.0,0.011892509432534271
0.0001,66,1500,17.0,1.7,100,1.0,0.012217905127502057
0.0001,66,1500,17.0,1.7,74,1.0,0.011902935159003805
0.0001,66,200,17.0,1.7,100,1.0,0.012184323940708721
0.0001,66,200,17.0,1.7,74,1.0,0.011777725943470553
0.0001,66,20,17.0,1.7,100,1.0,0.012210851787932063
0.0001,66,20,17.0,1.7,74,1.0,0.011730442302419269
0.0001,66,3000,17.0,1.7,100,1.0,0.012016376070581784
0.0001,66,3000,17.0,1.7,74,1.0,0.011958339278425087
0.0001,66,400,17.0,1.7,100,1.0,0.012065570412426008
0.0001,66,400,17.0,1.7,74,1.0,0.011856263190349225
0.0001,66,40,17.0,1.7,100,1.0,0.012018672881820675
0.0001,66,40,17.0,1.7,74,1.0,0.011994081790401085
0.0001,66,4,17.0,1.7,100,1.0,0.012224113292149874
0.0001,66,4,17.0,1.7,74,1.0,0.011957175487942113
0.0001,66,5000,17.0,1.7,100,1.0,0.011990388554654107
0.0001,66,5000,17.0,1.7,74,1.0,0.011812364219274007
0.0001,66,8,17.0,1.7,100,1.0,0.011871901159696123
0.0001,66,8,17.0,1.7,74,1.0,0.011857374870810572
0.00025,66,1000,17.0,1.7,100,1.0,0.012208229164986532
0.00025,66,1000,17.0,1.7,74,1.0,0.01186681546972842
0.00025,66,100,17.0,1.7,100,1.0,0.012371262439716769
0.00025,66,100,17.0,1.7,74,1.0,0.0119504470915784
0.00025,66,10,17.0,1.7,100,1.0,0.01202636171551154
0.00025,66,10,17.0,1.7,74,1.0,0.012033510466049701
0.00025,66,1500,17.0,1.7,100,1.0,0.012075568960789691
0.00025,66,1500,17.0,1.7,74,1.0,0.012071329934601922
0.00025,66,200,17.0,1.7,100,1.0,0.012232419877739964
0.00025,66,200,17.0,1.7,74,1.0,0.011804586178188978
0.00025,66,20,17.0,1.7,100,1.0,0.012176112517943838
0.00025,66,20,17.0,1.7,74,1.0,0.011938054832149898
0.00025,66,3000,17.0,1.7,100,1.0,0.01221726156873498
0.00025,66,3000,17.0,1.7,74,1.0,0.01184368358298583
0.00025,66,400,17.0,1.7,100,1.0,0.01214991854707334
0.00025,66,400,17.0,1.7,74,1.0,0.01195848692348636
0.00025,66,40,17.0,1.7,100,1.0,0.011856020258391265
0.00025,66,40,17.0,1.7,74,1.0,0.011959799599745405
0.00025,66,4,17.0,1.7,100,1.0,0.012118647074952821
0.00025,66,4,17.0,1.7,74,1.0,0.011831198269947283
0.00025,66,5000,17.0,1.7,100,1.0,0.012324437490927273
0.00025,66,5000,17.0,1.7,74,1.0,0.012003965324502753
0.00025,66,8,17.0,1.7,100,1.0,0.012232465039758706
0.00025,66,8,17.0,1.7,74,1.0,0.012020347722730019
0.0005,66,1000,17.0,1.7,100,1.0,0.0121791238568364
0.0005,66,1000,17.0,1.7,74,1.0,0.0119238412033941
0.0005,66,100,17.0,1.7,100,1.0,0.012356568654333135
0.0005,66,100,17.0,1.7,74,1.0,0.011940626833931565
0.0005,66,10,17.0,1.7,100,1.0,0.012107640445813642
0.0005,66,10,17.0,1.7,74,1.0,0.012066739289839663
0.0005,66,1500,17.0,1.7,100,1.0,0.012174404425877836
0.0005,66,1500,17.0,1.7,74,1.0,0.01208176186464546
0.0005,66,200,17.0,1.7,100,1.0,0.012084396522524557
0.0005,66,200,17.0,1.7,74,1.0,0.011852568341673005
0.0005,66,20,17.0,1.7,100,1.0,0.012222626171389861
0.0005,66,20,17.0,1.7,74,1.0,0.012072457744355678
0.0005,66,3000,17.0,1.7,100,1.0,0.0122562154228294
0.0005,66,3000,17.0,1.7,74,1.0,0.011916501134633686
0.0005,66,400,17.0,1.7,100,1.0,0.012212108259810643
0.0005,66,400,17.0,1.7,74,1.0,0.012058889287296197
0.0005,66,40,17.0,1.7,100,1.0,0.012217301891966
0.0005,66,40,17.0,1.7,74,1.0,0.011804601066766585
0.0005,66,4,17.0,1.7,100,1.0,0.012226914950241132
0.0005,66,4,17.0,1.7,74,1.0,0.011981675883109777
0.0005,66,5000,17.0,1.7,100,1.0,0.01208276101227439
0.0005,66,5000,17.0,1.7,74,1.0,0.01182571058838418
0.0005,66,8,17.0,1.7,100,1.0,0.01235958644494266
0.0005,66,8,17.0,1.7,74,1.0,0.012161835116447287
0.00075,66,1000,17.0,1.7,100,1.0,0.011938944176518976
0.00075,66,1000,17.0,1.7,74,1.0,0.011729730132123719
0.00075,66,100,17.0,1.7,100,1.0,0.012262617138986113
